idFrom,idTo,vehicleType,month,day,hour,minute,holiday,vacation,temperature,pType,secondsDelay
21,9,2,7,5,16,26,0,1,36,1,138
6,5,0,6,5,16,43,0,1,35,1,138
5,8,1,4,4,11,1,1,0,11,0,190
8,11,1,5,3,22,4,0,0,20,1,188
11,13,0,3,3,13,36,0,0,-19,2,199
12,10,1,8,6,6,56,0,0,29,0,166
10,9,0,5,1,8,11,0,0,21,1,204
9,4,0,1,2,22,49,0,1,-23,2,184
4,7,2,4,1,19,35,0,1,20,1,118
19,18,2,2,5,8,37,0,1,9,1,209
18,1,2,1,7,11,15,0,0,1,2,151
1,8,2,1,3,17,16,0,1,-2,2,223
9,3,1,4,1,15,33,1,0,18,0,145
3,2,1,12,3,17,50,0,1,-8,2,121
2,17,1,12,2,14,50,0,1,-3,0,253
17,20,1,2,7,16,52,0,0,-25,0,159
8,14,0,2,2,17,48,0,1,-22,2,294
14,15,1,11,1,6,32,0,0,-11,0,181
16,21,2,6,5,17,35,0,1,38,0,289
21,9,1,12,4,22,51,1,0,1,0,115
6,5,0,3,3,16,2,0,0,-6,0,129
5,8,1,10,7,16,29,0,0,20,1,199
8,11,1,3,5,10,40,0,0,-7,0,185
11,13,1,7,7,9,13,0,0,32,0,190
12,10,1,4,1,17,21,0,1,15,0,174
10,9,2,5,4,11,54,0,0,12,1,183
9,4,1,12,6,7,24,0,0,-7,0,171
4,7,2,3,6,18,35,0,0,-23,2,154
19,18,2,11,7,14,13,0,0,-4,0,168
18,1,1,6,2,16,32,0,0,27,1,178
1,8,2,2,6,8,51,0,0,-17,2,226
9,3,1,9,3,12,13,0,0,22,0,166
3,2,2,1,1,9,43,1,0,-22,0,91
2,17,2,6,5,7,14,0,1,28,2,240
17,20,2,3,5,11,4,0,0,-6,2,171
8,14,0,4,1,21,22,0,1,24,0,216
14,15,0,9,3,18,53,0,1,17,2,189
16,21,1,7,2,22,17,0,1,37,1,270
21,9,1,9,6,7,4,0,0,17,1,135
6,5,2,4,4,8,27,0,0,18,1,135
5,8,2,5,4,18,39,0,0,20,2,226
8,11,0,1,3,6,38,1,0,-19,0,167
11,13,1,7,3,16,35,0,1,28,2,205
12,10,0,1,2,21,4,1,0,-10,2,157
10,9,0,2,3,13,2,0,1,-9,0,177
9,4,2,3,3,8,6,0,0,-4,0,184
4,7,1,5,2,6,47,0,0,19,2,124
19,18,2,2,2,12,52,0,1,-19,0,193
18,1,2,10,1,9,24,0,0,22,0,149
1,8,1,2,6,7,49,0,0,6,2,237
9,3,2,1,4,12,30,1,0,-23,2,181
3,2,2,9,2,18,30,0,1,24,2,129
2,17,0,11,4,20,24,0,0,6,1,233
17,20,1,1,7,8,0,0,0,-16,2,179
8,14,0,6,2,19,14,0,0,33,2,221
14,15,0,10,1,11,47,0,0,24,0,170
16,21,0,12,7,9,22,0,0,2,1,281
21,9,1,11,2,14,40,0,0,-6,0,149
6,5,1,6,5,9,40,0,1,33,1,123
5,8,2,6,3,18,12,0,0,37,0,235
8,11,2,5,1,21,3,0,0,16,1,189
11,13,0,8,2,10,25,0,1,39,1,170
12,10,0,6,7,16,17,0,0,40,1,161
10,9,2,12,4,22,0,1,0,-17,0,159
9,4,1,7,5,19,41,0,1,38,1,190
4,7,1,1,6,22,3,0,0,-4,0,120
19,18,2,2,4,12,44,0,0,4,2,190
18,1,0,3,7,12,5,0,0,3,2,171
1,8,0,11,4,21,46,0,0,9,1,224
9,3,0,6,3,14,28,0,1,32,1,171
3,2,1,5,1,12,1,0,0,18,2,103
2,17,1,5,1,13,12,0,0,21,0,228
17,20,0,3,4,11,8,0,0,-24,0,163
8,14,2,4,4,8,37,1,0,25,2,272
14,15,2,10,7,12,59,0,0,12,1,167
16,21,0,7,3,17,12,0,1,26,2,271
21,9,1,4,6,11,2,0,0,15,0,132
6,5,0,12,4,19,20,0,0,-19,0,133
5,8,2,2,7,21,41,0,0,-17,2,203
8,11,2,7,2,22,46,0,1,40,1,170
11,13,0,12,6,20,44,0,0,-20,0,177
12,10,1,12,5,9,53,1,0,-17,0,158
10,9,2,11,4,17,42,0,0,-13,0,230
9,4,1,7,6,10,4,0,0,36,2,181
4,7,0,7,2,15,32,0,1,36,0,118
19,18,1,5,4,20,2,0,0,20,2,197
18,1,1,11,2,12,3,0,0,-1,2,175
1,8,0,6,3,17,39,0,1,32,0,241
9,3,2,7,1,12,25,0,1,29,2,161
3,2,0,10,7,19,8,0,0,16,2,103
2,17,0,12,2,15,2,1,0,-13,0,190
17,20,2,12,3,20,50,0,1,-13,2,162
8,14,2,7,6,11,23,0,0,31,2,227
14,15,0,9,4,8,3,0,1,24,1,174
16,21,2,10,4,11,25,0,0,19,1,278
21,9,1,2,3,18,55,0,1,3,2,152
6,5,1,11,7,13,11,0,0,1,0,124
5,8,2,4,4,6,4,1,0,25,2,171
8,11,2,9,2,19,12,0,1,13,0,169
11,13,1,12,1,11,49,0,0,-15,0,181
12,10,1,5,7,18,11,0,0,15,0,178
10,9,2,8,1,16,19,0,1,38,0,188
9,4,2,2,3,11,56,0,1,-2,2,165
4,7,1,1,3,10,40,0,1,6,1,133
19,18,2,7,5,6,31,0,1,36,1,163
18,1,2,2,3,15,30,0,0,6,2,165
1,8,2,11,1,18,20,0,0,-18,2,248
9,3,0,8,1,19,23,0,1,26,0,162
3,2,1,2,7,20,14,0,0,1,0,99
2,17,1,11,7,7,43,0,0,-6,0,234
17,20,0,6,2,18,42,0,0,27,2,193
8,14,1,9,6,17,24,0,0,10,0,238
14,15,2,1,2,7,22,0,0,-10,2,201
16,21,0,1,1,11,24,1,0,-17,2,226
21,9,0,4,2,12,30,0,0,16,0,136
6,5,2,2,5,19,22,0,1,-13,2,130
5,8,0,8,2,6,27,0,1,32,2,188
8,11,2,6,7,13,39,0,0,28,0,170
11,13,1,8,7,11,29,0,0,31,1,198
12,10,1,5,4,11,26,0,0,25,0,159
10,9,0,12,4,16,47,1,0,-3,2,204
9,4,1,9,3,9,12,0,1,19,1,163
4,7,1,1,6,16,11,0,0,-11,0,123
19,18,0,10,4,22,6,0,0,24,0,167
18,1,2,7,3,14,24,0,1,32,0,136
1,8,1,4,7,15,22,0,0,10,2,220
9,3,2,11,1,22,14,0,0,1,2,173
3,2,1,10,1,9,28,0,0,18,0,114
2,17,1,5,3,6,35,0,0,17,1,232
17,20,2,11,3,13,46,0,0,7,0,163
8,14,2,4,2,10,0,0,0,17,0,225
14,15,2,3,3,21,10,0,0,-10,0,159
16,21,1,3,3,10,48,0,0,6,2,313
21,9,2,10,4,12,26,0,0,25,1,133
6,5,1,12,3,13,24,0,1,-12,2,130
5,8,2,3,2,19,20,0,0,-4,2,228
8,11,1,1,2,11,41,0,1,-15,0,211
11,13,0,3,3,13,0,0,0,-12,2,210
12,10,2,6,3,19,38,0,0,36,1,155
10,9,2,2,4,7,15,0,0,-8,2,208
9,4,0,1,1,7,21,0,0,-9,2,182
4,7,1,7,2,7,6,0,1,30,2,140
19,18,2,1,4,18,46,1,0,-24,0,177
18,1,0,5,6,15,36,0,0,10,0,163
1,8,1,1,3,16,46,1,0,-1,2,228
9,3,0,11,1,12,33,0,0,9,1,182
3,2,0,2,2,22,0,0,0,6,1,94
2,17,2,7,3,8,59,0,1,37,0,241
17,20,1,8,7,18,37,0,0,32,1,170
8,14,2,12,3,17,23,0,1,7,1,251
14,15,1,6,6,15,25,0,0,38,2,185
16,21,0,2,7,10,10,0,0,8,1,290
21,9,2,4,7,21,30,0,0,21,1,126
6,5,1,7,4,7,42,0,1,37,0,140
5,8,2,5,2,13,49,0,0,16,2,193
8,11,0,4,1,11,31,1,0,14,2,169
11,13,0,4,5,11,24,1,0,16,0,150
12,10,1,6,5,10,14,0,0,33,2,157
10,9,0,7,5,13,23,0,1,33,1,164
9,4,1,10,4,15,54,0,0,19,0,176
4,7,1,7,6,16,2,0,0,30,2,146
19,18,1,7,5,13,2,0,1,27,2,202
18,1,0,12,6,6,16,0,0,9,0,149
1,8,2,8,1,15,19,0,1,29,2,188
9,3,1,6,5,9,4,0,0,33,2,172
3,2,1,8,5,19,24,0,1,38,2,109
2,17,1,11,2,7,49,0,0,-20,2,287
17,20,1,6,7,10,14,0,0,28,2,157
8,14,2,5,6,20,28,0,0,13,2,240
14,15,2,3,3,13,32,0,0,-7,2,174
16,21,2,3,1,18,25,0,0,-18,2,318
21,9,1,2,4,8,45,0,1,-24,0,167
6,5,1,9,2,6,0,0,1,23,1,130
5,8,0,6,5,8,10,0,1,30,0,187
8,11,2,5,5,9,56,0,0,24,2,223
11,13,1,10,3,14,54,0,0,17,0,192
12,10,0,12,5,20,4,1,0,1,0,136
10,9,2,11,1,18,32,0,0,0,0,203
9,4,0,6,6,13,5,0,0,35,0,154
4,7,0,12,1,22,14,1,0,-4,0,100
19,18,1,3,7,15,58,0,0,-24,2,235
18,1,1,5,7,20,23,0,0,24,1,158
1,8,0,10,5,21,39,0,0,16,1,207
9,3,0,12,6,22,32,0,0,-18,2,165
3,2,0,5,5,7,26,0,0,18,1,123
2,17,2,1,5,22,27,1,0,-4,0,205
17,20,0,5,2,18,52,0,0,21,1,169
8,14,2,7,6,19,39,0,0,29,0,216
14,15,0,8,3,7,37,0,1,38,2,202
16,21,1,4,5,18,42,0,1,23,0,291
21,9,1,7,3,21,43,0,1,29,1,143
6,5,1,7,4,14,44,0,1,40,1,120
5,8,1,8,7,20,11,0,0,38,1,212
8,11,0,8,7,7,37,0,0,35,0,178
11,13,1,6,6,15,19,0,0,29,0,177
12,10,0,5,3,19,19,0,0,15,2,153
10,9,2,10,6,10,3,0,0,22,0,174
9,4,1,10,3,16,59,0,0,24,2,181
4,7,2,11,3,7,2,0,0,0,2,127
19,18,2,12,1,19,23,1,0,-3,2,186
18,1,1,10,1,17,57,0,0,11,2,198
1,8,2,8,4,15,51,0,1,36,0,194
9,3,2,10,3,6,56,0,0,18,2,174
3,2,2,5,1,21,20,0,0,16,1,110
2,17,1,12,1,13,45,1,0,-22,0,206
17,20,2,9,5,8,37,0,0,24,1,199
8,14,1,9,3,8,26,0,0,21,2,258
14,15,1,12,7,21,17,0,0,-11,0,152
16,21,2,6,7,19,46,0,0,36,2,298
21,9,2,11,7,18,43,0,0,7,0,140
6,5,0,10,6,20,0,0,0,25,2,118
5,8,0,8,2,6,35,0,1,27,2,210
8,11,1,2,6,22,17,0,0,-1,2,197
11,13,2,7,4,13,55,0,1,30,2,175
12,10,1,3,2,20,18,0,0,-5,2,160
10,9,2,4,1,11,47,0,1,22,1,190
9,4,0,5,7,19,0,0,0,19,1,172
4,7,2,6,1,6,44,0,0,40,2,127
19,18,1,8,7,16,7,0,0,33,1,209
18,1,2,9,7,18,35,0,0,22,0,170
1,8,0,8,1,18,20,0,1,26,0,226
9,3,1,2,3,14,47,0,1,-24,2,180
3,2,1,11,3,18,18,0,0,-20,2,112
2,17,2,8,7,21,18,0,0,32,2,198
17,20,1,3,7,13,34,0,0,-10,2,160
8,14,2,10,6,22,59,0,0,24,2,202
14,15,1,7,2,21,10,0,1,40,2,161
16,21,2,8,1,14,18,0,1,40,1,265
21,9,1,3,4,12,38,0,0,-17,0,163
6,5,2,6,5,21,16,0,0,32,2,127
5,8,1,4,4,18,46,0,0,10,1,282
8,11,1,2,3,7,31,0,0,-8,2,247
11,13,0,12,5,15,34,0,1,8,2,206
12,10,0,10,5,11,43,0,0,18,0,142
10,9,2,11,5,17,20,0,0,-5,0,217
9,4,1,8,1,21,20,0,1,28,2,170
4,7,0,8,7,8,26,0,0,40,2,116
19,18,2,3,5,14,22,0,0,-17,2,189
18,1,1,1,5,14,5,1,0,6,0,158
1,8,1,12,5,16,1,0,0,-18,0,213
9,3,0,12,7,6,46,0,0,-14,2,173
3,2,0,5,3,10,28,0,0,18,2,112
2,17,1,2,2,16,47,0,0,-8,0,252
17,20,2,6,5,7,4,0,0,29,0,177
8,14,2,12,6,8,36,0,0,9,1,261
14,15,0,4,4,6,28,0,0,15,1,176
16,21,0,4,2,18,46,1,0,22,1,256
21,9,0,7,6,7,35,0,0,30,0,126
6,5,0,11,2,16,21,0,0,-9,2,134
5,8,0,4,3,18,18,0,1,22,2,241
8,11,2,12,3,9,29,1,0,3,0,194
11,13,2,10,2,8,57,0,0,12,1,209
12,10,0,11,2,19,16,0,0,-21,2,181
10,9,2,2,7,18,11,0,0,7,2,230
9,4,0,9,5,19,6,0,0,15,1,177
4,7,1,11,6,10,33,0,0,4,1,149
19,18,2,9,6,15,13,0,0,15,0,166
18,1,1,5,2,7,14,0,0,13,1,173
1,8,0,9,2,19,26,0,0,17,2,234
9,3,0,9,2,13,1,0,0,10,2,167
3,2,1,1,6,6,30,0,0,-14,2,110
2,17,1,7,5,7,9,0,1,26,1,235
17,20,0,6,6,20,25,0,0,34,0,149
8,14,2,6,1,10,52,0,0,28,1,259
14,15,2,10,5,9,22,0,0,22,2,190
16,21,2,7,3,17,52,0,1,39,1,316
21,9,2,2,5,7,20,0,0,7,0,145
6,5,0,7,7,6,56,0,0,27,0,125
5,8,1,3,6,16,19,0,0,-12,0,217
8,11,1,8,5,15,7,0,1,30,1,177
11,13,1,4,3,21,50,1,0,12,2,182
12,10,1,9,5,20,45,0,0,12,0,169
10,9,2,3,3,22,46,0,0,-19,2,214
9,4,0,9,3,14,57,0,0,12,0,169
4,7,2,6,5,11,23,0,1,31,2,124
19,18,0,10,4,22,46,0,0,16,2,193
18,1,2,2,3,12,0,0,0,5,1,160
1,8,0,3,6,15,39,0,0,-6,0,228
9,3,2,3,5,7,23,0,0,-24,2,198
3,2,2,3,7,6,34,0,0,2,1,106
2,17,1,4,3,9,35,1,0,17,2,217
17,20,2,3,6,13,41,0,0,-24,0,158
8,14,2,12,7,21,20,0,0,-16,2,256
14,15,1,11,2,7,44,0,0,3,2,228
16,21,0,1,5,8,8,0,0,-15,2,333
21,9,1,7,2,9,20,0,1,40,1,135
6,5,0,4,4,20,41,1,0,19,0,105
5,8,1,6,2,9,59,0,0,36,1,231
8,11,2,2,7,18,11,0,0,3,1,226
11,13,2,11,1,20,46,0,0,-3,2,182
12,10,0,6,5,16,37,0,0,39,0,162
10,9,1,6,3,21,4,0,1,40,1,173
9,4,1,6,3,13,35,0,0,38,0,178
4,7,1,9,6,16,39,0,0,20,0,142
19,18,2,8,1,12,5,0,1,35,1,183
18,1,1,6,3,7,56,0,1,39,0,159
1,8,1,12,4,13,38,1,0,-18,0,204
9,3,2,2,5,11,20,0,1,-1,0,144
3,2,1,3,4,15,54,0,0,-12,0,110
2,17,1,3,3,9,55,0,0,-15,0,241
17,20,0,5,3,6,41,0,0,10,0,158
8,14,1,12,3,22,38,0,0,8,0,223
14,15,2,9,2,12,17,0,1,17,2,165
16,21,1,1,7,20,14,0,0,-22,2,300
21,9,0,3,4,9,4,0,0,8,2,157
6,5,2,6,7,17,42,0,0,33,0,129
5,8,1,10,1,9,29,0,0,13,1,216
8,11,2,8,5,9,23,0,1,27,1,192
11,13,0,6,3,20,17,0,1,34,0,182
12,10,1,8,2,10,32,0,1,31,1,161
10,9,0,12,7,16,46,0,0,9,2,214
9,4,1,9,5,9,52,0,0,25,2,192
4,7,2,12,1,7,34,0,1,7,0,140
19,18,1,1,1,22,44,0,0,-22,2,216
18,1,0,4,4,10,0,1,0,17,0,123
1,8,0,12,3,12,4,1,0,-12,0,180
9,3,2,10,7,20,42,0,0,23,1,167
3,2,2,7,1,13,8,0,1,26,0,90
2,17,1,11,5,7,13,0,0,-11,2,261
17,20,2,9,3,14,26,0,1,11,1,155
8,14,1,8,4,11,37,0,1,26,1,243
14,15,1,3,5,15,13,0,0,-5,0,169
16,21,0,7,4,13,8,0,1,40,0,243
21,9,2,5,4,6,53,0,0,17,1,131
6,5,0,11,6,9,22,0,0,-19,2,141
5,8,2,6,5,16,56,0,0,34,0,211
8,11,0,6,6,16,56,0,0,29,2,204
11,13,0,4,2,14,24,1,0,10,1,165
12,10,2,1,3,16,40,1,0,8,2,150
10,9,2,5,7,15,57,0,0,11,1,182
9,4,0,8,6,17,47,0,0,31,1,177
4,7,2,1,2,22,35,0,1,-10,2,127
19,18,1,1,5,21,43,0,0,-5,2,228
18,1,0,4,6,6,47,0,0,25,2,158
1,8,2,10,6,12,43,0,0,21,1,209
9,3,1,6,2,8,7,0,0,31,1,193
3,2,0,12,1,13,59,0,0,9,2,109
2,17,2,12,1,7,35,1,0,5,1,229
17,20,2,6,4,8,31,0,1,32,1,148
8,14,2,3,4,22,46,0,0,-19,0,233
14,15,1,1,4,21,5,1,0,-10,2,152
16,21,2,5,3,20,29,0,0,12,1,273
21,9,1,4,1,8,19,1,0,17,1,130
6,5,2,12,1,15,16,0,0,6,2,139
5,8,0,11,7,8,29,0,0,-8,0,202
8,11,1,11,3,6,39,0,0,4,0,199
11,13,1,10,3,9,14,0,0,10,1,219
12,10,1,8,7,15,20,0,0,38,1,172
10,9,1,4,2,12,58,0,0,12,1,211
9,4,1,12,7,14,24,0,0,-25,2,180
4,7,2,6,6,14,18,0,0,38,1,120
19,18,1,8,2,16,51,0,1,28,2,200
18,1,0,2,6,9,55,0,0,8,1,181
1,8,0,12,5,6,42,0,1,-4,0,217
9,3,0,6,4,14,54,0,1,38,0,154
3,2,0,4,4,16,33,0,0,18,2,114
2,17,2,8,6,13,16,0,0,27,2,214
17,20,2,6,5,18,48,0,1,36,0,140
8,14,0,6,3,7,46,0,1,35,2,247
14,15,2,8,2,13,53,0,1,40,0,154
16,21,0,3,4,6,58,0,0,-6,2,315
21,9,1,6,6,21,32,0,0,40,2,144
6,5,2,1,2,14,28,0,1,-24,0,120
5,8,2,5,6,18,48,0,0,20,0,225
8,11,1,6,6,11,33,0,0,38,0,190
11,13,2,5,6,11,58,0,0,21,1,200
12,10,1,11,1,7,48,0,0,-16,0,213
10,9,1,12,5,18,35,1,0,3,2,233
9,4,0,9,4,8,5,0,0,20,1,193
4,7,0,6,2,22,31,0,0,40,0,114
19,18,1,1,7,14,19,0,0,-13,2,201
18,1,0,4,6,17,19,0,0,24,0,148
1,8,2,4,2,12,34,0,1,21,2,197
9,3,0,7,1,13,34,0,1,31,1,162
3,2,0,11,1,10,54,0,0,-6,0,100
2,17,0,7,5,13,25,0,1,40,2,208
17,20,0,2,1,8,11,0,0,-13,2,177
8,14,2,5,4,18,21,0,0,14,1,246
14,15,1,4,2,22,3,1,0,16,0,143
16,21,0,1,2,13,39,1,0,-18,2,253
21,9,1,3,3,16,18,0,0,6,2,151
6,5,1,2,5,16,2,0,0,-21,2,147
5,8,1,7,4,22,4,0,1,39,2,213
8,11,2,12,7,19,59,0,0,-21,0,187
11,13,0,2,2,6,19,0,1,-17,0,193
12,10,2,9,5,7,28,0,1,20,2,176
10,9,2,6,6,9,40,0,0,27,1,190
9,4,1,2,1,14,24,0,0,-20,2,184
4,7,2,7,7,11,22,0,0,37,2,123
19,18,1,8,2,11,43,0,1,31,0,172
18,1,0,4,2,16,14,0,0,19,1,164
1,8,1,7,6,20,9,0,0,34,1,229
9,3,2,12,4,20,43,0,1,-24,2,170
3,2,1,5,1,19,27,0,0,22,0,104
2,17,0,11,4,10,48,0,0,-8,2,243
17,20,1,1,4,6,45,0,0,-10,0,169
8,14,0,4,6,6,4,0,0,23,1,209
14,15,2,8,2,14,38,0,1,31,2,160
16,21,1,6,5,18,19,0,0,29,0,301
21,9,0,11,3,17,1,0,0,-19,0,150
6,5,1,6,3,17,8,0,1,32,2,150
5,8,1,7,4,10,37,0,1,34,1,222
8,11,0,1,6,8,51,0,0,-12,0,184
11,13,2,1,3,12,15,1,0,-14,0,192
12,10,1,2,5,13,52,0,0,3,2,175
10,9,0,6,6,7,33,0,0,29,1,191
9,4,0,10,3,18,55,0,0,17,0,170
4,7,1,11,5,22,32,0,0,-23,2,127
19,18,0,9,4,22,31,0,1,20,1,156
18,1,0,11,7,15,4,0,0,0,2,167
1,8,2,6,6,18,49,0,0,33,2,222
9,3,2,3,4,13,0,0,0,-18,0,160
3,2,2,7,6,16,21,0,0,27,0,97
2,17,2,12,2,15,17,0,0,-10,0,214
17,20,0,5,2,20,20,0,0,11,0,153
8,14,2,11,6,15,14,0,0,-23,0,226
14,15,1,7,7,17,6,0,0,37,2,180
16,21,1,5,5,6,15,0,0,12,2,289
21,9,0,12,3,20,18,0,0,-8,0,141
6,5,2,3,1,10,39,0,0,-4,0,139
5,8,1,7,2,11,23,0,1,40,0,187
8,11,0,12,5,14,41,1,0,-12,0,153
11,13,2,7,7,9,5,0,0,32,1,183
12,10,2,7,5,13,25,0,1,39,2,152
10,9,2,9,6,14,23,0,0,25,0,189
9,4,1,2,7,19,12,0,0,5,0,186
4,7,1,11,5,14,14,0,0,-8,0,125
19,18,2,1,1,16,46,1,0,-2,0,188
18,1,2,4,7,8,15,0,0,19,2,150
1,8,1,12,6,8,1,0,0,1,2,215
9,3,0,9,3,13,44,0,0,11,0,164
3,2,1,1,3,15,3,1,0,9,1,96
2,17,0,8,4,6,36,0,1,39,0,202
17,20,0,10,7,22,42,0,0,16,1,143
8,14,2,10,2,14,43,0,0,19,2,252
14,15,1,4,1,20,10,0,0,21,1,186
16,21,1,12,5,18,9,0,1,-18,0,285
21,9,0,10,5,18,49,0,0,10,1,144
6,5,2,11,2,10,6,0,0,-13,0,124
5,8,0,9,1,20,13,0,0,21,2,204
8,11,2,5,6,19,1,0,0,13,1,195
11,13,1,12,3,6,40,1,0,-11,0,202
12,10,1,5,2,9,11,0,0,20,2,171
10,9,2,10,6,20,9,0,0,10,1,187
9,4,0,3,7,16,37,0,0,-20,2,192
4,7,2,3,3,18,47,0,0,-11,2,146
19,18,0,1,5,6,51,1,0,-16,0,156
18,1,0,3,6,9,18,0,0,-12,0,151
1,8,0,2,2,12,54,0,0,-17,0,230
9,3,1,7,6,22,47,0,0,32,0,169
3,2,1,6,6,12,27,0,0,29,1,112
2,17,0,3,3,14,25,0,0,-1,0,228
17,20,0,1,3,21,52,0,1,-3,0,170
8,14,1,10,5,11,0,0,0,17,2,243
14,15,0,12,4,12,48,1,0,-2,2,161
16,21,2,9,1,9,28,0,1,22,2,277
21,9,1,7,4,21,58,0,1,35,0,121
6,5,1,9,7,17,34,0,0,20,1,143
5,8,0,12,6,20,52,0,0,-19,0,225
8,11,1,11,6,15,15,0,0,0,2,214
11,13,2,6,5,18,27,0,0,27,2,201
12,10,1,6,7,20,20,0,0,36,2,175
10,9,1,8,2,12,1,0,1,39,1,188
9,4,1,5,1,7,7,0,0,10,1,174
4,7,1,2,2,16,22,0,0,-4,2,144
19,18,0,10,4,19,24,0,0,10,1,193
18,1,0,8,5,12,35,0,1,32,1,160
1,8,1,9,4,19,28,0,0,10,2,242
9,3,2,1,6,22,55,0,0,-18,2,180
3,2,0,12,6,13,31,0,0,-19,0,102
2,17,0,11,2,13,42,0,0,-6,2,246
17,20,0,8,1,11,9,0,1,32,1,137
8,14,0,6,1,8,44,0,1,36,1,253
14,15,1,9,4,12,59,0,1,20,1,159
16,21,1,10,3,7,41,0,0,17,2,386
21,9,2,12,2,13,11,1,0,-6,2,120
6,5,2,9,4,14,10,0,1,24,2,108
5,8,1,8,3,19,31,0,1,34,1,205
